"URI"	"Label"	"URIparent"	"LabelParent"
<https://www.datatourisme.fr/ontology/core#Fountain>,Fountain,<https://www.datatourisme.fr/ontology/core#RemarkableBuilding>,Remarkable civil building
<https://www.datatourisme.fr/ontology/core#FitnessCenter>,Fitness centre,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,Sports and leisure place
<https://www.datatourisme.fr/ontology/core#FitnessPath>,Fitness path,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,Sports and leisure place
<https://www.datatourisme.fr/ontology/core#CampingAndCaravanning>,Camping and caravanning,<https://www.datatourisme.fr/ontology/core#Accommodation>,Accommodation
<https://www.datatourisme.fr/ontology/core#CollectiveAccommodation>,Collective accommodation,<https://www.datatourisme.fr/ontology/core#Accommodation>,Accommodation
<https://www.datatourisme.fr/ontology/core#ClubOrHolidayVillage>,Club or holiday village,<https://www.datatourisme.fr/ontology/core#CollectiveAccommodation>,Collective accommodation
<https://www.datatourisme.fr/ontology/core#CityHeritage>,City and village,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Cultural site
<https://www.datatourisme.fr/ontology/core#BarOrPub>,Bar or theme bar,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Food establishment
<https://www.datatourisme.fr/ontology/core#BistroOrWineBar>,Bistro - Wine bar,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Food establishment
<https://www.datatourisme.fr/ontology/core#Cellar>,Cellar,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Food establishment
<https://www.datatourisme.fr/ontology/core#Accommodation>,Accommodation,<https://www.datatourisme.fr/ontology/core#PlaceOfInterest>,Place
<https://www.datatourisme.fr/ontology/core#Chalet>,Chalet,<https://www.datatourisme.fr/ontology/core#AccommodationProduct>,Accommodation product
<https://www.datatourisme.fr/ontology/core#Arena>,Arena,<https://www.datatourisme.fr/ontology/core#RemarkableBuilding>,Remarkable civil building
<https://www.datatourisme.fr/ontology/core#FastFoodRestaurant>,Fast food restaurant,<https://www.datatourisme.fr/ontology/core#FoodEstablishment>,Food establishment
<https://www.datatourisme.fr/ontology/core#EquipmentRental>,Equipment rental,<https://www.datatourisme.fr/ontology/core#Rental>,Rental
<https://www.datatourisme.fr/ontology/core#FarmhouseInn>,Farmhouse inn,<https://www.datatourisme.fr/ontology/core#Restaurant>,Restaurant
<https://www.datatourisme.fr/ontology/core#Farmer>,Farmer,<https://www.datatourisme.fr/ontology/core#TastingProvider>,Tasting provider
<https://www.datatourisme.fr/ontology/core#Farm>,Farm,<https://www.datatourisme.fr/ontology/core#TechnicalHeritage>,"Industrial, handcraft, rural, agricultural and technical heritage"
<https://www.datatourisme.fr/ontology/core#ExecutiveBoardMeeting>,Executive board meeting,<https://www.datatourisme.fr/ontology/core#BusinessEvent>,Business event
<https://www.datatourisme.fr/ontology/core#Exhibition>,Exhibition,<https://www.datatourisme.fr/ontology/core#CulturalEvent>,Cultural event
<https://www.datatourisme.fr/ontology/core#Festival>,Festival,<https://www.datatourisme.fr/ontology/core#CulturalEvent>,Cultural event
<https://www.datatourisme.fr/ontology/core#FairOrShow>,Fair or show,<https://www.datatourisme.fr/ontology/core#SaleEvent>,Sale event
<https://www.datatourisme.fr/ontology/core#EquipmentRentalShop>,Equipment rental shop,<https://www.datatourisme.fr/ontology/core#ServiceProvider>,Service provider
<https://www.datatourisme.fr/ontology/core#EquipmentRepairShop>,Equipment repair shop,<https://www.datatourisme.fr/ontology/core#ServiceProvider>,Service provider
<https://www.datatourisme.fr/ontology/core#ArcheologicalSite>,Archeological site,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Cultural site
<https://www.datatourisme.fr/ontology/core#ArtGalleryOrExhibitionGallery>,"Art gallery, exhibition gallery",<https://www.datatourisme.fr/ontology/core#Store>,Store
<https://www.datatourisme.fr/ontology/core#ATM>,ATM,<https://www.datatourisme.fr/ontology/core#ConvenientService>,Convenient service
