,locality_name,postal_code,center_latitude,center_longitude,locality
312,Saint-Julien-sur-Reyssouze,1560,46.4,5.104,Saint-Julien-sur-Reyssouze (1560)
313,Saint-Julien-sur-Veyle,1540,46.202,4.959,Saint-Julien-sur-Veyle (1540)
314,Saint-Just,1250,46.193,5.285,Saint-Just (1250)
315,Saint-Laurent-sur-Saône,1750,46.305,4.84,Saint-Laurent-sur-Saône (1750)
316,Saint-Marcel,1390,45.949,4.99,Saint-Marcel (1390)
317,Saint-Martin-de-Bavel,1510,45.848,5.679,Saint-Martin-de-Bavel (1510)
318,Saint-Martin-du-Frêne,1430,46.136,5.571,Saint-Martin-du-Frêne (1430)
319,Saint-Martin-du-Mont,1160,46.106,5.326,Saint-Martin-du-Mont (1160)
320,Saint-Martin-le-Châtel,1310,46.291,5.123,Saint-Martin-le-Châtel (1310)
321,Saint-Maurice-de-Beynost,1700,45.834,4.977,Saint-Maurice-de-Beynost (1700)
322,Saint-Maurice-de-Gourdans,1800,45.82,5.17,Saint-Maurice-de-Gourdans (1800)
323,Saint-Maurice-de-Rémens,1500,45.953,5.271,Saint-Maurice-de-Rémens (1500)
324,Saint-Nizier-le-Bouchoux,1560,46.453,5.176,Saint-Nizier-le-Bouchoux (1560)
325,Saint-Nizier-le-Désert,1320,46.053,5.142,Saint-Nizier-le-Désert (1320)
326,Sainte-Olive,1330,46.014,4.936,Sainte-Olive (1330)
327,Saint-Paul-de-Varax,1240,46.096,5.128,Saint-Paul-de-Varax (1240)
328,Saint-Rambert-en-Bugey,1230,45.95,5.44,Saint-Rambert-en-Bugey (1230)
329,Saint-Rémy,1310,46.185,5.168,Saint-Rémy (1310)
330,Saint-Sorlin-en-Bugey,1150,45.886,5.376,Saint-Sorlin-en-Bugey (1150)
331,Saint-Sulpice,1340,46.321,5.042,Saint-Sulpice (1340)
332,Saint-Trivier-de-Courtes,1560,46.461,5.067,Saint-Trivier-de-Courtes (1560)
333,Saint-Trivier-sur-Moignans,1990,46.062,4.902,Saint-Trivier-sur-Moignans (1990)
