,locality_name,postal_code,center_latitude,center_longitude,locality
13382,Poligné,35320,47.899,-1.685,Poligné (35320)
13383,Princé,35210,48.237,-1.106,Princé (35210)
13384,Québriac,35190,48.356,-1.813,Québriac (35190)
13385,Quédillac,35290,48.238,-2.144,Quédillac (35290)
13386,Rannée,35130,47.901,-1.226,Rannée (35130)
13387,Redon,35600,47.661,-2.08,Redon (35600)
13388,Renac,35660,47.728,-1.966,Renac (35660)
13389,Rennes,35700,48.112,-1.682,Rennes (35700)
13390,Retiers,35240,47.906,-1.344,Retiers (35240)
13391,Le Rheu,35650,48.097,-1.782,Le Rheu (35650)
13392,La Richardais,35780,48.61,-2.044,La Richardais (35780)
13393,Rimou,35560,48.388,-1.528,Rimou (35560)
13394,Romagné,35133,48.344,-1.262,Romagné (35133)
13395,Romazy,35490,48.38,-1.493,Romazy (35490)
13396,Romillé,35850,48.222,-1.879,Romillé (35850)
13397,Roz-Landrieux,35120,48.546,-1.817,Roz-Landrieux (35120)
13398,Roz-sur-Couesnon,35610,48.596,-1.593,Roz-sur-Couesnon (35610)
13399,Sains,35610,48.556,-1.603,Sains (35610)
13400,Sainte-Anne-sur-Vilaine,35390,47.734,-1.805,Sainte-Anne-sur-Vilaine (35390)
13401,Saint-Armel,35230,48.013,-1.581,Saint-Armel (35230)
13402,Saint-Aubin-d'Aubigné,35250,48.262,-1.6,Saint-Aubin-d'Aubigné (35250)
13403,Saint-Aubin-des-Landes,35500,48.1,-1.292,Saint-Aubin-des-Landes (35500)
13404,Saint-Aubin-du-Cormier,35140,48.258,-1.421,Saint-Aubin-du-Cormier (35140)
13405,Saint-Benoît-des-Ondes,35114,48.614,-1.86,Saint-Benoît-des-Ondes (35114)
13406,Saint-Briac-sur-Mer,35800,48.616,-2.124,Saint-Briac-sur-Mer (35800)
13407,Maen Roch,35460,48.413,-1.368,Maen Roch (35460)
13408,Saint-Brieuc-des-Iffs,35630,48.303,-1.844,Saint-Brieuc-des-Iffs (35630)
13409,Saint-Broladre,35120,48.58,-1.661,Saint-Broladre (35120)
13410,Saint-Christophe-des-Bois,35210,48.226,-1.236,Saint-Christophe-des-Bois (35210)
13411,Saint-Christophe-de-Valains,35140,48.342,-1.452,Saint-Christophe-de-Valains (35140)
13412,Sainte-Colombe,35134,47.896,-1.458,Sainte-Colombe (35134)
13413,Saint-Coulomb,35350,48.677,-1.921,Saint-Coulomb (35350)
13414,Saint-Didier,35220,48.093,-1.358,Saint-Didier (35220)
13415,Saint-Domineuc,35190,48.36,-1.869,Saint-Domineuc (35190)
13416,Saint-Erblon,35230,48.019,-1.642,Saint-Erblon (35230)
13417,Saint-Ganton,35550,47.769,-1.891,Saint-Ganton (35550)
13418,Saint-Georges-de-Gréhaigne,35610,48.579,-1.549,Saint-Georges-de-Gréhaigne (35610)
13419,Saint-Georges-de-Reintembault,35420,48.513,-1.235,Saint-Georges-de-Reintembault (35420)
13420,Saint-Germain-du-Pinel,35370,48.005,-1.173,Saint-Germain-du-Pinel (35370)
13421,Saint-Germain-en-Coglès,35133,48.397,-1.264,Saint-Germain-en-Coglès (35133)
13422,Saint-Germain-sur-Ille,35250,48.251,-1.653,Saint-Germain-sur-Ille (35250)
13423,Saint-Gilles,35590,48.152,-1.854,Saint-Gilles (35590)
13424,Saint-Gondran,35630,48.268,-1.825,Saint-Gondran (35630)
13425,Saint-Gonlay,35750,48.113,-2.077,Saint-Gonlay (35750)
13426,Saint-Grégoire,35760,48.159,-1.686,Saint-Grégoire (35760)
13427,Saint-Guinoux,35430,48.579,-1.888,Saint-Guinoux (35430)
13428,Saint-Hilaire-des-Landes,35140,48.338,-1.367,Saint-Hilaire-des-Landes (35140)
13429,Saint-Jacques-de-la-Lande,35136,48.076,-1.724,Saint-Jacques-de-la-Lande (35136)
13430,Rives-du-Couesnon,35140,48.277,-1.368,Rives-du-Couesnon (35140)
13431,Saint-Jean-sur-Vilaine,35220,48.121,-1.34,Saint-Jean-sur-Vilaine (35220)
13432,Saint-Jouan-des-Guérets,35430,48.604,-1.965,Saint-Jouan-des-Guérets (35430)
13433,Saint-Just,35550,47.764,-1.969,Saint-Just (35550)
13434,Saint-Léger-des-Prés,35270,48.388,-1.658,Saint-Léger-des-Prés (35270)
13435,Saint-Lunaire,35800,48.62,-2.097,Saint-Lunaire (35800)
13436,Saint-Malo,35400,48.64,-1.981,Saint-Malo (35400)
13437,Saint-Malo-de-Phily,35480,47.868,-1.805,Saint-Malo-de-Phily (35480)
13438,Saint-Malon-sur-Mel,35750,48.094,-2.112,Saint-Malon-sur-Mel (35750)
13439,Saint-Marcan,35120,48.585,-1.628,Saint-Marcan (35120)
13440,Saint-Marc-le-Blanc,35460,48.375,-1.405,Saint-Marc-le-Blanc (35460)
13441,Sainte-Marie,35600,47.694,-2.013,Sainte-Marie (35600)
13442,Saint-Maugan,35750,48.137,-2.102,Saint-Maugan (35750)
13443,Saint-Médard-sur-Ille,35250,48.273,-1.67,Saint-Médard-sur-Ille (35250)
13444,Saint-Méen-le-Grand,35290,48.193,-2.195,Saint-Méen-le-Grand (35290)
13445,Saint-Méloir-des-Ondes,35350,48.639,-1.905,Saint-Méloir-des-Ondes (35350)
13446,Saint-M'Hervé,35500,48.172,-1.111,Saint-M'Hervé (35500)
13447,Saint-Onen-la-Chapelle,35290,48.17,-2.156,Saint-Onen-la-Chapelle (35290)
13448,Saint-Ouen-des-Alleux,35140,48.327,-1.428,Saint-Ouen-des-Alleux (35140)
13449,Saint-Péran,35380,48.057,-2.065,Saint-Péran (35380)
13450,Saint-Père-Marc-en-Poulet,35430,48.584,-1.929,Saint-Père-Marc-en-Poulet (35430)
13451,Saint-Pern,35190,48.281,-1.983,Saint-Pern (35190)
13452,Mesnil-Roc'h,35720,48.455,-1.889,Mesnil-Roc'h (35720)
13453,Saint-Rémy-du-Plain,35560,48.376,-1.567,Saint-Rémy-du-Plain (35560)
13454,Saint-Sauveur-des-Landes,35133,48.347,-1.314,Saint-Sauveur-des-Landes (35133)
13455,Saint-Séglin,35330,47.851,-2.026,Saint-Séglin (35330)
13456,Saint-Senoux,35580,47.91,-1.79,Saint-Senoux (35580)
13457,Saint-Suliac,35430,48.57,-1.967,Saint-Suliac (35430)
13458,Saint-Sulpice-la-Forêt,35250,48.212,-1.577,Saint-Sulpice-la-Forêt (35250)
13459,Saint-Sulpice-des-Landes,35390,47.777,-1.626,Saint-Sulpice-des-Landes (35390)
13460,Saint-Symphorien,35630,48.281,-1.803,Saint-Symphorien (35630)
13461,Saint-Thual,35190,48.336,-1.932,Saint-Thual (35190)
13462,Saint-Thurial,35310,48.034,-1.94,Saint-Thurial (35310)
13463,Saint-Uniac,35360,48.167,-2.034,Saint-Uniac (35360)
13464,Saulnières,35320,47.92,-1.578,Saulnières (35320)
13465,Le Sel-de-Bretagne,35320,47.898,-1.606,Le Sel-de-Bretagne (35320)
13466,La Selle-en-Luitré,35133,48.321,-1.151,La Selle-en-Luitré (35133)
13467,La Selle-Guerchaise,35130,47.943,-1.17,La Selle-Guerchaise (35130)
13468,Sens-de-Bretagne,35490,48.337,-1.554,Sens-de-Bretagne (35490)
13469,Servon-sur-Vilaine,35530,48.121,-1.458,Servon-sur-Vilaine (35530)
13470,Sixt-sur-Aff,35550,47.775,-2.049,Sixt-sur-Aff (35550)
13471,Sougeal,35610,48.503,-1.515,Sougeal (35610)
13472,Taillis,35500,48.185,-1.24,Taillis (35500)
13473,Talensac,35160,48.091,-1.926,Talensac (35160)
13474,Teillay,35620,47.808,-1.522,Teillay (35620)
13475,Le Theil-de-Bretagne,35240,47.918,-1.422,Le Theil-de-Bretagne (35240)
13476,Thorigné-Fouillard,35235,48.157,-1.584,Thorigné-Fouillard (35235)
13477,Thourie,35134,47.849,-1.458,Thourie (35134)
13478,Le Tiercent,35460,48.35,-1.423,Le Tiercent (35460)
13479,Tinténiac,35190,48.323,-1.83,Tinténiac (35190)
13480,Torcé,35370,48.061,-1.272,Torcé (35370)
13481,Trans-la-Forêt,35610,48.488,-1.604,Trans-la-Forêt (35610)
13482,Treffendel,35380,48.031,-2.008,Treffendel (35380)
13483,Trémeheuc,35270,48.439,-1.698,Trémeheuc (35270)
13484,Tresbœuf,35320,47.881,-1.553,Tresbœuf (35320)
13485,Trévérien,35190,48.371,-1.92,Trévérien (35190)
13486,Trimer,35190,48.344,-1.897,Trimer (35190)
13487,Val-d'Izé,35450,48.19,-1.305,Val-d'Izé (35450)
13488,Vergéal,35680,48.036,-1.256,Vergéal (35680)
13489,Le Verger,35160,48.066,-1.937,Le Verger (35160)
13490,Vern-sur-Seiche,35770,48.052,-1.605,Vern-sur-Seiche (35770)
13491,Vezin-le-Coquet,35132,48.117,-1.75,Vezin-le-Coquet (35132)
13492,Vieux-Viel,35610,48.501,-1.553,Vieux-Viel (35610)
13493,Vieux-Vy-sur-Couesnon,35490,48.334,-1.499,Vieux-Vy-sur-Couesnon (35490)
13494,Vignoc,35630,48.257,-1.763,Vignoc (35630)
13495,Villamée,35420,48.456,-1.218,Villamée (35420)
13496,La Ville-ès-Nonais,35430,48.549,-1.952,La Ville-ès-Nonais (35430)
13497,Visseiche,35130,47.96,-1.299,Visseiche (35130)
13498,Vitré,35500,48.114,-1.194,Vitré (35500)
13499,Le Vivier-sur-Mer,35960,48.598,-1.78,Le Vivier-sur-Mer (35960)
13500,Le Tronchet,35540,48.493,-1.841,Le Tronchet (35540)
13501,Pont-Péan,35131,48.011,-1.696,Pont-Péan (35131)
13502,Aigurande,36140,46.456,1.84,Aigurande (36140)
13503,Aize,36150,47.108,1.707,Aize (36150)
13504,Ambrault,36120,46.784,1.95,Ambrault (36120)
13505,Anjouin,36210,47.201,1.808,Anjouin (36210)
13506,Ardentes,36120,46.736,1.824,Ardentes (36120)
13507,Argenton-sur-Creuse,36200,46.579,1.493,Argenton-sur-Creuse (36200)
13508,Argy,36500,46.941,1.462,Argy (36500)
13509,Arpheuilles,36700,46.9,1.274,Arpheuilles (36700)
13510,Arthon,36330,46.693,1.711,Arthon (36330)
13511,Azay-le-Ferron,36290,46.846,1.081,Azay-le-Ferron (36290)
13512,Bagneux,36210,47.168,1.756,Bagneux (36210)
13513,Baraize,36270,46.481,1.57,Baraize (36270)
13514,Baudres,36110,47.052,1.573,Baudres (36110)
13515,Bazaiges,36270,46.484,1.528,Bazaiges (36270)
13516,Beaulieu,36310,46.386,1.298,Beaulieu (36310)
13517,Bélâbre,36370,46.556,1.162,Bélâbre (36370)
13518,La Berthenoux,36400,46.697,2.057,La Berthenoux (36400)
13519,Le Blanc,36300,46.635,1.1,Le Blanc (36300)
13520,Bommiers,36120,46.78,2.004,Bommiers (36120)
13521,Bonneuil,36310,46.383,1.242,Bonneuil (36310)
13522,Les Bordes,36100,46.985,1.964,Les Bordes (36100)
13523,Bouesse,36200,46.626,1.688,Bouesse (36200)
13524,Bouges-le-Château,36110,47.032,1.665,Bouges-le-Château (36110)
13525,Bretagne,36110,46.999,1.698,Bretagne (36110)
13526,Briantes,36400,46.55,2.024,Briantes (36400)
13527,Brion,36110,46.95,1.729,Brion (36110)
13528,Brives,36100,46.857,1.926,Brives (36100)
13529,La Buxerette,36140,46.496,1.798,La Buxerette (36140)
13530,Buxeuil,36150,47.127,1.695,Buxeuil (36150)
13531,Buxières-d'Aillac,36230,46.639,1.753,Buxières-d'Aillac (36230)
13532,Buzançais,36500,46.888,1.412,Buzançais (36500)
13533,Ceaulmont,36200,46.53,1.557,Ceaulmont (36200)
13534,Celon,36200,46.532,1.512,Celon (36200)
13535,Chabris,36210,47.252,1.662,Chabris (36210)
13536,Chaillac,36310,46.426,1.292,Chaillac (36310)
13537,Chalais,36370,46.543,1.222,Chalais (36370)
13538,La Champenoise,36100,46.939,1.793,La Champenoise (36100)
13539,Champillet,36160,46.547,2.107,Champillet (36160)
13540,La Chapelle-Orthemale,36500,46.833,1.452,La Chapelle-Orthemale (36500)
13541,La Chapelle-Saint-Laurian,36150,47.055,1.783,La Chapelle-Saint-Laurian (36150)
13542,Chasseneuil,36800,46.657,1.494,Chasseneuil (36800)
13543,Chassignolles,36400,46.529,1.936,Chassignolles (36400)
13544,Châteauroux,36000,46.803,1.694,Châteauroux (36000)
13545,Châtillon-sur-Indre,36700,46.992,1.175,Châtillon-sur-Indre (36700)
13546,La Châtre,36400,46.574,1.991,La Châtre (36400)
13547,La Châtre-Langlin,36170,46.41,1.388,La Châtre-Langlin (36170)
13548,Chavin,36200,46.562,1.612,Chavin (36200)
13549,Chazelet,36170,46.508,1.434,Chazelet (36170)
13550,Chezelles,36500,46.894,1.563,Chezelles (36500)
13551,Chitray,36800,46.66,1.36,Chitray (36800)
13552,Chouday,36100,46.921,2.053,Chouday (36100)
13553,Ciron,36300,46.632,1.261,Ciron (36300)
13554,Cléré-du-Bois,36700,46.943,1.102,Cléré-du-Bois (36700)
13555,Clion,36700,46.938,1.222,Clion (36700)
13556,Cluis,36340,46.535,1.743,Cluis (36340)
13557,Coings,36130,46.884,1.721,Coings (36130)
13558,Concremiers,36300,46.594,1.016,Concremiers (36300)
13559,Condé,36100,46.886,1.987,Condé (36100)
13560,Crevant,36140,46.469,1.937,Crevant (36140)
13561,Crozon-sur-Vauvre,36140,46.481,1.882,Crozon-sur-Vauvre (36140)
13562,Cuzion,36190,46.472,1.617,Cuzion (36190)
13563,Déols,36130,46.84,1.702,Déols (36130)
13564,Diors,36130,46.83,1.811,Diors (36130)
13565,Diou,36260,47.046,2.006,Diou (36260)
13566,Douadic,36300,46.704,1.118,Douadic (36300)
13567,Dunet,36310,46.47,1.286,Dunet (36310)
13568,Dun-le-Poëlier,36210,47.219,1.747,Dun-le-Poëlier (36210)
13569,Écueillé,36240,47.077,1.354,Écueillé (36240)
13570,Éguzon-Chantôme,36270,46.434,1.569,Éguzon-Chantôme (36270)
13571,Étrechet,36120,46.793,1.778,Étrechet (36120)
13572,Feusines,36160,46.512,2.1,Feusines (36160)
13573,Fléré-la-Rivière,36700,46.997,1.093,Fléré-la-Rivière (36700)
13574,Fontenay,36150,47.054,1.742,Fontenay (36150)
13575,Fontgombault,36220,46.674,0.972,Fontgombault (36220)
13576,Fontguenand,36600,47.202,1.534,Fontguenand (36600)
13577,Fougerolles,36230,46.569,1.87,Fougerolles (36230)
13578,Francillon,36110,46.946,1.558,Francillon (36110)
13579,Frédille,36180,47.002,1.477,Frédille (36180)
13580,Gargilesse-Dampierre,36190,46.505,1.621,Gargilesse-Dampierre (36190)
13581,Gehée,36240,47.038,1.494,Gehée (36240)
13582,Giroux,36150,47.065,1.907,Giroux (36150)
13583,Gournay,36230,46.596,1.735,Gournay (36230)
13584,Guilly,36150,47.085,1.735,Guilly (36150)
13585,Heugnes,36180,47.028,1.385,Heugnes (36180)
13586,Ingrandes,36300,46.593,0.964,Ingrandes (36300)
13587,Issoudun,36100,46.949,2.0,Issoudun (36100)
13588,Jeu-les-Bois,36120,46.682,1.795,Jeu-les-Bois (36120)
13589,Jeu-Maloches,36240,47.048,1.442,Jeu-Maloches (36240)
13590,Lacs,36400,46.591,2.036,Lacs (36400)
13591,Langé,36600,47.074,1.508,Langé (36600)
13592,Levroux,36110,46.973,1.63,Levroux (36110)
13593,Lignac,36370,46.476,1.201,Lignac (36370)
13594,Lignerolles,36160,46.501,2.164,Lignerolles (36160)
13595,Lingé,36220,46.755,1.113,Lingé (36220)
13596,Liniez,36150,47.014,1.756,Liniez (36150)
13597,Lizeray,36100,46.985,1.903,Lizeray (36100)
13598,Lourdoueix-Saint-Michel,36140,46.417,1.726,Lourdoueix-Saint-Michel (36140)
13599,Lourouer-Saint-Laurent,36400,46.619,2.018,Lourouer-Saint-Laurent (36400)
13600,Luant,36350,46.728,1.562,Luant (36350)
13601,Luçay-le-Libre,36150,47.094,1.917,Luçay-le-Libre (36150)
13602,Luçay-le-Mâle,36360,47.115,1.427,Luçay-le-Mâle (36360)
13603,Lurais,36220,46.688,0.937,Lurais (36220)
13604,Lureuil,36220,46.746,1.038,Lureuil (36220)
13605,Luzeret,36800,46.548,1.385,Luzeret (36800)
13606,Lye,36600,47.221,1.474,Lye (36600)
13607,Lys-Saint-Georges,36230,46.646,1.817,Lys-Saint-Georges (36230)
13608,Le Magny,36400,46.557,1.959,Le Magny (36400)
13609,Maillet,36340,46.58,1.678,Maillet (36340)
13610,Malicornay,36340,46.569,1.646,Malicornay (36340)
13611,Mâron,36120,46.801,1.858,Mâron (36120)
13612,Martizay,36220,46.8,1.04,Martizay (36220)
13613,Mauvières,36370,46.578,1.107,Mauvières (36370)
13614,Menetou-sur-Nahon,36210,47.224,1.637,Menetou-sur-Nahon (36210)
13615,Ménétréols-sous-Vatan,36150,47.009,1.835,Ménétréols-sous-Vatan (36150)
13616,Le Menoux,36200,46.558,1.574,Le Menoux (36200)
13617,Méobecq,36500,46.742,1.414,Méobecq (36500)
13618,Mérigny,36220,46.631,0.933,Mérigny (36220)
13619,Mers-sur-Indre,36230,46.669,1.873,Mers-sur-Indre (36230)
13620,Meunet-Planches,36100,46.84,1.974,Meunet-Planches (36100)
13621,Meunet-sur-Vatan,36150,47.092,1.86,Meunet-sur-Vatan (36150)
13622,Mézières-en-Brenne,36290,46.812,1.257,Mézières-en-Brenne (36290)
13623,Migné,36800,46.712,1.302,Migné (36800)
13624,Migny,36260,47.016,2.053,Migny (36260)
13625,Montchevrier,36140,46.479,1.754,Montchevrier (36140)
13626,Montgivray,36400,46.596,1.966,Montgivray (36400)
13627,Montierchaume,36130,46.866,1.778,Montierchaume (36130)
13628,Montipouret,36230,46.657,1.914,Montipouret (36230)
13629,Montlevicq,36400,46.58,2.084,Montlevicq (36400)
13630,Mosnay,36200,46.626,1.625,Mosnay (36200)
13631,La Motte-Feuilly,36160,46.548,2.074,La Motte-Feuilly (36160)
13632,Mouhers,36340,46.563,1.78,Mouhers (36340)
13633,Mouhet,36170,46.389,1.443,Mouhet (36170)
13634,Moulins-sur-Céphons,36110,47.009,1.561,Moulins-sur-Céphons (36110)
13635,Murs,36700,46.925,1.162,Murs (36700)
13636,Néons-sur-Creuse,36220,46.735,0.917,Néons-sur-Creuse (36220)
13637,Néret,36400,46.572,2.141,Néret (36400)
13638,Neuillay-les-Bois,36500,46.762,1.478,Neuillay-les-Bois (36500)
13639,Neuvy-Pailloux,36100,46.904,1.859,Neuvy-Pailloux (36100)
13640,Neuvy-Saint-Sépulchre,36230,46.592,1.813,Neuvy-Saint-Sépulchre (36230)
13641,Niherne,36250,46.802,1.558,Niherne (36250)
13642,Nohant-Vic,36400,46.64,1.957,Nohant-Vic (36400)
13643,Nuret-le-Ferron,36800,46.689,1.428,Nuret-le-Ferron (36800)
13644,Obterre,36290,46.907,1.063,Obterre (36290)
13645,Orsennes,36190,46.479,1.695,Orsennes (36190)
13646,Orville,36210,47.143,1.776,Orville (36210)
13647,Oulches,36800,46.603,1.31,Oulches (36800)
13648,Palluau-sur-Indre,36500,46.95,1.307,Palluau-sur-Indre (36500)
13649,Parnac,36170,46.441,1.465,Parnac (36170)
13650,Paudy,36260,47.035,1.92,Paudy (36260)
13651,Paulnay,36290,46.862,1.15,Paulnay (36290)
13652,Le Pêchereau,36200,46.585,1.57,Le Pêchereau (36200)
13653,Pellevoisin,36180,46.986,1.422,Pellevoisin (36180)
13654,Pérassay,36160,46.475,2.145,Pérassay (36160)
13655,La Pérouille,36350,46.71,1.515,La Pérouille (36350)
13656,Badecon-le-Pin,36200,46.532,1.602,Badecon-le-Pin (36200)
13657,Le Poinçonnet,36330,46.757,1.73,Le Poinçonnet (36330)
13658,Pommiers,36190,46.522,1.654,Pommiers (36190)
13659,Le Pont-Chrétien-Chabenet,36800,46.628,1.5,Le Pont-Chrétien-Chabenet (36800)
13660,Poulaines,36210,47.15,1.645,Poulaines (36210)
13661,Pouligny-Notre-Dame,36160,46.473,2.007,Pouligny-Notre-Dame (36160)
13662,Pouligny-Saint-Martin,36160,46.515,2.006,Pouligny-Saint-Martin (36160)
13663,Pouligny-Saint-Pierre,36300,46.684,1.046,Pouligny-Saint-Pierre (36300)
13664,Préaux,36240,47.03,1.306,Préaux (36240)
13665,Preuilly-la-Ville,36220,46.698,0.98,Preuilly-la-Ville (36220)
13666,Prissac,36370,46.525,1.299,Prissac (36370)
13667,Pruniers,36120,46.781,2.058,Pruniers (36120)
13668,Reboursin,36150,47.108,1.812,Reboursin (36150)
13669,Reuilly,36260,47.08,2.011,Reuilly (36260)
13670,Rivarennes,36800,46.614,1.379,Rivarennes (36800)
13671,Rosnay,36300,46.708,1.206,Rosnay (36300)
13672,Roussines,36170,46.462,1.377,Roussines (36170)
13673,Rouvres-les-Bois,36110,47.073,1.653,Rouvres-les-Bois (36110)
13674,Ruffec,36300,46.624,1.184,Ruffec (36300)
13675,Sacierges-Saint-Martin,36170,46.502,1.364,Sacierges-Saint-Martin (36170)
13676,Saint-Aigny,36300,46.633,1.006,Saint-Aigny (36300)
13677,Saint-Aoustrille,36100,46.932,1.93,Saint-Aoustrille (36100)
13678,Saint-Août,36120,46.726,1.963,Saint-Août (36120)
13679,Saint-Aubin,36100,46.862,2.032,Saint-Aubin (36100)
13680,Saint-Benoît-du-Sault,36170,46.448,1.399,Saint-Benoît-du-Sault (36170)
13681,Saint-Chartier,36400,46.676,1.982,Saint-Chartier (36400)
13682,Saint-Christophe-en-Bazelle,36210,47.188,1.712,Saint-Christophe-en-Bazelle (36210)
13683,Saint-Christophe-en-Boucherie,36400,46.68,2.116,Saint-Christophe-en-Boucherie (36400)
13684,Saint-Civran,36170,46.494,1.404,Saint-Civran (36170)
13685,Saint-Cyran-du-Jambot,36700,47.022,1.157,Saint-Cyran-du-Jambot (36700)
13686,Saint-Denis-de-Jouhet,36230,46.527,1.845,Saint-Denis-de-Jouhet (36230)
13687,Sainte-Fauste,36100,46.855,1.871,Sainte-Fauste (36100)
13688,Saint-Florentin,36150,47.099,1.779,Saint-Florentin (36150)
13689,Saint-Gaultier,36800,46.648,1.43,Saint-Gaultier (36800)
13690,Sainte-Gemme,36500,46.86,1.333,Sainte-Gemme (36500)
13691,Saint-Genou,36500,46.912,1.35,Saint-Genou (36500)
13692,Saint-Georges-sur-Arnon,36100,46.986,2.065,Saint-Georges-sur-Arnon (36100)
13693,Saint-Gilles,36170,46.479,1.449,Saint-Gilles (36170)
13694,Saint-Hilaire-sur-Benaize,36370,46.557,1.067,Saint-Hilaire-sur-Benaize (36370)
13695,Saint-Lactencin,36500,46.896,1.497,Saint-Lactencin (36500)
13696,Sainte-Lizaigne,36260,47.011,1.995,Sainte-Lizaigne (36260)
13697,Saint-Marcel,36200,46.608,1.524,Saint-Marcel (36200)
13698,Saint-Maur,36250,46.789,1.623,Saint-Maur (36250)
13699,Saint-Médard,36700,47.005,1.265,Saint-Médard (36700)
13700,Saint-Michel-en-Brenne,36290,46.788,1.174,Saint-Michel-en-Brenne (36290)
13701,Saint-Pierre-de-Jards,36260,47.102,1.97,Saint-Pierre-de-Jards (36260)
13702,Saint-Plantaire,36190,46.432,1.648,Saint-Plantaire (36190)
13703,Sainte-Sévère-sur-Indre,36160,46.504,2.068,Sainte-Sévère-sur-Indre (36160)
13704,Saint-Valentin,36100,46.962,1.851,Saint-Valentin (36100)
13705,Sarzay,36230,46.598,1.907,Sarzay (36230)
13706,Sassierges-Saint-Germain,36120,46.755,1.89,Sassierges-Saint-Germain (36120)
13707,Saulnay,36290,46.868,1.257,Saulnay (36290)
13708,Sauzelles,36220,46.654,0.986,Sauzelles (36220)
13709,Sazeray,36160,46.447,2.045,Sazeray (36160)
13710,Ségry,36100,46.885,2.096,Ségry (36100)
13711,Selles-sur-Nahon,36180,47.018,1.456,Selles-sur-Nahon (36180)
13712,Sembleçay,36210,47.218,1.694,Sembleçay (36210)
13713,Sougé,36500,46.966,1.48,Sougé (36500)
13714,Tendu,36200,46.652,1.566,Tendu (36200)
13715,Thenay,36800,46.595,1.429,Thenay (36800)
13716,Thevet-Saint-Julien,36400,46.634,2.07,Thevet-Saint-Julien (36400)
13717,Thizay,36100,46.899,1.929,Thizay (36100)
13718,Tilly,36310,46.405,1.211,Tilly (36310)
13719,Tournon-Saint-Martin,36220,46.73,0.983,Tournon-Saint-Martin (36220)
13720,Le Tranger,36700,46.973,1.247,Le Tranger (36700)
13721,Tranzault,36230,46.622,1.854,Tranzault (36230)
13722,Urciers,36160,46.529,2.146,Urciers (36160)
13723,Valençay,36600,47.156,1.559,Valençay (36600)
13724,Val-Fouzon,36210,47.205,1.592,Val-Fouzon (36210)
13725,Vatan,36150,47.054,1.825,Vatan (36150)
13726,Velles,36330,46.7,1.637,Velles (36330)
13727,Vendœuvres,36500,46.788,1.36,Vendœuvres (36500)
13728,La Vernelle,36600,47.243,1.564,La Vernelle (36600)
13729,Verneuil-sur-Igneraie,36400,46.654,2.014,Verneuil-sur-Igneraie (36400)
13730,Veuil,36600,47.133,1.51,Veuil (36600)
13731,Vicq-Exemplet,36400,46.621,2.143,Vicq-Exemplet (36400)
13732,Vicq-sur-Nahon,36600,47.1,1.558,Vicq-sur-Nahon (36600)
13733,Vigoulant,36160,46.439,2.084,Vigoulant (36160)
13734,Vigoux,36170,46.517,1.474,Vigoux (36170)
13735,Vijon,36160,46.436,2.122,Vijon (36160)
13736,Villedieu-sur-Indre,36320,46.845,1.516,Villedieu-sur-Indre (36320)
13737,Villegongis,36110,46.924,1.59,Villegongis (36110)
13738,Villegouin,36500,46.974,1.356,Villegouin (36500)
13739,Villentrois-Faverolles-en-Berry,36600,47.188,1.46,Villentrois-Faverolles-en-Berry (36600)
13740,Villiers,36290,46.884,1.199,Villiers (36290)
13741,Vineuil,36110,46.908,1.654,Vineuil (36110)
13742,Vouillon,36100,46.82,1.913,Vouillon (36100)
13743,Abilly,37160,46.941,0.735,Abilly (37160)
13744,Ambillou,37340,47.452,0.447,Ambillou (37340)
13745,Amboise,37400,47.392,1.0,Amboise (37400)
13746,Anché,37500,47.132,0.308,Anché (37500)
13747,Antogny-le-Tillac,37800,46.968,0.555,Antogny-le-Tillac (37800)
13748,Artannes-sur-Indre,37260,47.276,0.595,Artannes-sur-Indre (37260)
13749,Assay,37120,47.068,0.276,Assay (37120)
13750,Athée-sur-Cher,37270,47.315,0.902,Athée-sur-Cher (37270)
13751,Autrèche,37110,47.522,1.002,Autrèche (37110)
13752,Auzouer-en-Touraine,37110,47.554,0.937,Auzouer-en-Touraine (37110)
13753,Avoine,37420,47.224,0.188,Avoine (37420)
13754,Avon-les-Roches,37220,47.183,0.46,Avon-les-Roches (37220)
13755,Avrillé-les-Ponceaux,37340,47.388,0.303,Avrillé-les-Ponceaux (37340)
13756,Azay-le-Rideau,37190,47.273,0.47,Azay-le-Rideau (37190)
13757,Azay-sur-Cher,37270,47.334,0.845,Azay-sur-Cher (37270)
13758,Azay-sur-Indre,37310,47.204,0.943,Azay-sur-Indre (37310)
13759,Ballan-Miré,37510,47.337,0.601,Ballan-Miré (37510)
13760,Barrou,37350,46.882,0.775,Barrou (37350)
13761,Beaulieu-lès-Loches,37600,47.128,1.023,Beaulieu-lès-Loches (37600)
13762,Beaumont-Louestault,37370,47.569,0.673,Beaumont-Louestault (37370)
13763,Beaumont-en-Véron,37420,47.194,0.186,Beaumont-en-Véron (37420)
13764,Beaumont-Village,37460,47.18,1.204,Beaumont-Village (37460)
13765,Benais,37140,47.316,0.218,Benais (37140)
13766,Berthenay,37510,47.36,0.525,Berthenay (37510)
13767,Betz-le-Château,37600,47.0,0.952,Betz-le-Château (37600)
13768,Bléré,37150,47.308,0.987,Bléré (37150)
13769,Bossay-sur-Claise,37290,46.825,0.976,Bossay-sur-Claise (37290)
13770,Bossée,37240,47.113,0.733,Bossée (37240)
13771,Le Boulay,37110,47.595,0.844,Le Boulay (37110)
