,locality_name,reg_name,dep_name,postal_code,center_latitude,center_longitude,locality
71,Champdor-Corcelles,Auvergne-Rhône-Alpes,Ain,1110,46.02,5.6,"Champdor-Corcelles (1110), Auvergne-Rhône-Alpes"
72,Champfromier,Auvergne-Rhône-Alpes,Ain,1410,46.22,5.822,"Champfromier (1410), Auvergne-Rhône-Alpes"
73,Chanay,Auvergne-Rhône-Alpes,Ain,1420,46.006,5.769,"Chanay (1420), Auvergne-Rhône-Alpes"
74,Chaneins,Auvergne-Rhône-Alpes,Ain,1990,46.094,4.855,"Chaneins (1990), Auvergne-Rhône-Alpes"
75,Chanoz-Châtenay,Auvergne-Rhône-Alpes,Ain,1400,46.186,5.028,"Chanoz-Châtenay (1400), Auvergne-Rhône-Alpes"
76,La Chapelle-du-Châtelard,Auvergne-Rhône-Alpes,Ain,1240,46.074,5.022,"La Chapelle-du-Châtelard (1240), Auvergne-Rhône-Alpes"
77,Charix,Auvergne-Rhône-Alpes,Ain,1130,46.186,5.681,"Charix (1130), Auvergne-Rhône-Alpes"
78,Charnoz-sur-Ain,Auvergne-Rhône-Alpes,Ain,1800,45.874,5.221,"Charnoz-sur-Ain (1800), Auvergne-Rhône-Alpes"
79,Château-Gaillard,Auvergne-Rhône-Alpes,Ain,1500,45.973,5.308,"Château-Gaillard (1500), Auvergne-Rhône-Alpes"
80,Châtenay,Auvergne-Rhône-Alpes,Ain,1320,46.026,5.205,"Châtenay (1320), Auvergne-Rhône-Alpes"
81,Châtillon-la-Palud,Auvergne-Rhône-Alpes,Ain,1320,45.975,5.242,"Châtillon-la-Palud (1320), Auvergne-Rhône-Alpes"
82,Châtillon-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,1400,46.123,4.958,"Châtillon-sur-Chalaronne (1400), Auvergne-Rhône-Alpes"
83,Chavannes-sur-Reyssouze,Auvergne-Rhône-Alpes,Ain,1190,46.438,5.007,"Chavannes-sur-Reyssouze (1190), Auvergne-Rhône-Alpes"
84,Nivigne et Suran,Auvergne-Rhône-Alpes,Ain,1250,46.275,5.416,"Nivigne et Suran (1250), Auvergne-Rhône-Alpes"
85,Chaveyriat,Auvergne-Rhône-Alpes,Ain,1660,46.199,5.056,"Chaveyriat (1660), Auvergne-Rhône-Alpes"
86,Chazey-Bons,Auvergne-Rhône-Alpes,Ain,1300,45.793,5.685,"Chazey-Bons (1300), Auvergne-Rhône-Alpes"
87,Chazey-sur-Ain,Auvergne-Rhône-Alpes,Ain,1150,45.893,5.255,"Chazey-sur-Ain (1150), Auvergne-Rhône-Alpes"
88,Cheignieu-la-Balme,Auvergne-Rhône-Alpes,Ain,1510,45.823,5.605,"Cheignieu-la-Balme (1510), Auvergne-Rhône-Alpes"
89,Chevillard,Auvergne-Rhône-Alpes,Ain,1430,46.11,5.581,"Chevillard (1430), Auvergne-Rhône-Alpes"
90,Chevroux,Auvergne-Rhône-Alpes,Ain,1190,46.382,4.963,"Chevroux (1190), Auvergne-Rhône-Alpes"
91,Chevry,Auvergne-Rhône-Alpes,Ain,1170,46.283,6.047,"Chevry (1170), Auvergne-Rhône-Alpes"
92,Chézery-Forens,Auvergne-Rhône-Alpes,Ain,1410,46.223,5.872,"Chézery-Forens (1410), Auvergne-Rhône-Alpes"
93,Civrieux,Auvergne-Rhône-Alpes,Ain,1390,45.922,4.886,"Civrieux (1390), Auvergne-Rhône-Alpes"
94,Cize,Auvergne-Rhône-Alpes,Ain,1250,46.2,5.451,"Cize (1250), Auvergne-Rhône-Alpes"
95,Cleyzieu,Auvergne-Rhône-Alpes,Ain,1230,45.902,5.433,"Cleyzieu (1230), Auvergne-Rhône-Alpes"
96,Coligny,Auvergne-Rhône-Alpes,Ain,1270,46.387,5.331,"Coligny (1270), Auvergne-Rhône-Alpes"
97,Collonges,Auvergne-Rhône-Alpes,Ain,1550,46.142,5.9,"Collonges (1550), Auvergne-Rhône-Alpes"
98,Colomieu,Auvergne-Rhône-Alpes,Ain,1300,45.736,5.627,"Colomieu (1300), Auvergne-Rhône-Alpes"
99,Conand,Auvergne-Rhône-Alpes,Ain,1230,45.884,5.475,"Conand (1230), Auvergne-Rhône-Alpes"
100,Condamine,Auvergne-Rhône-Alpes,Ain,1430,46.106,5.556,"Condamine (1430), Auvergne-Rhône-Alpes"
101,Condeissiat,Auvergne-Rhône-Alpes,Ain,1400,46.154,5.084,"Condeissiat (1400), Auvergne-Rhône-Alpes"
102,Confort,Auvergne-Rhône-Alpes,Ain,1200,46.154,5.833,"Confort (1200), Auvergne-Rhône-Alpes"
103,Confrançon,Auvergne-Rhône-Alpes,Ain,1310,46.27,5.058,"Confrançon (1310), Auvergne-Rhône-Alpes"
104,Contrevoz,Auvergne-Rhône-Alpes,Ain,1300,45.801,5.621,"Contrevoz (1300), Auvergne-Rhône-Alpes"
105,Conzieu,Auvergne-Rhône-Alpes,Ain,1300,45.725,5.604,"Conzieu (1300), Auvergne-Rhône-Alpes"
106,Corbonod,Auvergne-Rhône-Alpes,Ain,1420,45.966,5.79,"Corbonod (1420), Auvergne-Rhône-Alpes"
107,Corlier,Auvergne-Rhône-Alpes,Ain,1110,46.034,5.496,"Corlier (1110), Auvergne-Rhône-Alpes"
108,Cormoranche-sur-Saône,Auvergne-Rhône-Alpes,Ain,1290,46.24,4.828,"Cormoranche-sur-Saône (1290), Auvergne-Rhône-Alpes"
109,Cormoz,Auvergne-Rhône-Alpes,Ain,1560,46.434,5.222,"Cormoz (1560), Auvergne-Rhône-Alpes"
110,Corveissiat,Auvergne-Rhône-Alpes,Ain,1250,46.25,5.472,"Corveissiat (1250), Auvergne-Rhône-Alpes"
111,Courmangoux,Auvergne-Rhône-Alpes,Ain,1370,46.327,5.356,"Courmangoux (1370), Auvergne-Rhône-Alpes"
112,Courtes,Auvergne-Rhône-Alpes,Ain,1560,46.457,5.111,"Courtes (1560), Auvergne-Rhône-Alpes"
113,Crans,Auvergne-Rhône-Alpes,Ain,1320,45.966,5.195,"Crans (1320), Auvergne-Rhône-Alpes"
114,Bresse Vallons,Auvergne-Rhône-Alpes,Ain,1340,46.313,5.178,"Bresse Vallons (1340), Auvergne-Rhône-Alpes"
115,Cressin-Rochefort,Auvergne-Rhône-Alpes,Ain,1350,45.783,5.766,"Cressin-Rochefort (1350), Auvergne-Rhône-Alpes"
116,Crottet,Auvergne-Rhône-Alpes,Ain,1290,46.283,4.878,"Crottet (1290), Auvergne-Rhône-Alpes"
117,Crozet,Auvergne-Rhône-Alpes,Ain,1170,46.292,5.995,"Crozet (1170), Auvergne-Rhône-Alpes"
118,Cruzilles-lès-Mépillat,Auvergne-Rhône-Alpes,Ain,1290,46.222,4.875,"Cruzilles-lès-Mépillat (1290), Auvergne-Rhône-Alpes"
119,Culoz-Béon,Auvergne-Rhône-Alpes,Ain,1350,45.856,5.784,"Culoz-Béon (1350), Auvergne-Rhône-Alpes"
120,Curciat-Dongalon,Auvergne-Rhône-Alpes,Ain,1560,46.488,5.163,"Curciat-Dongalon (1560), Auvergne-Rhône-Alpes"
121,Curtafond,Auvergne-Rhône-Alpes,Ain,1310,46.273,5.102,"Curtafond (1310), Auvergne-Rhône-Alpes"
122,Cuzieu,Auvergne-Rhône-Alpes,Ain,1300,45.82,5.677,"Cuzieu (1300), Auvergne-Rhône-Alpes"
123,Dagneux,Auvergne-Rhône-Alpes,Ain,1120,45.853,5.073,"Dagneux (1120), Auvergne-Rhône-Alpes"
124,Divonne-les-Bains,Auvergne-Rhône-Alpes,Ain,1220,46.376,6.116,"Divonne-les-Bains (1220), Auvergne-Rhône-Alpes"
125,Dompierre-sur-Veyle,Auvergne-Rhône-Alpes,Ain,1240,46.067,5.217,"Dompierre-sur-Veyle (1240), Auvergne-Rhône-Alpes"
126,Dompierre-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,1400,46.142,4.901,"Dompierre-sur-Chalaronne (1400), Auvergne-Rhône-Alpes"
127,Domsure,Auvergne-Rhône-Alpes,Ain,1270,46.424,5.293,"Domsure (1270), Auvergne-Rhône-Alpes"
128,Dortan,Auvergne-Rhône-Alpes,Ain,1590,46.313,5.642,"Dortan (1590), Auvergne-Rhône-Alpes"
129,Douvres,Auvergne-Rhône-Alpes,Ain,1500,45.984,5.371,"Douvres (1500), Auvergne-Rhône-Alpes"
130,Drom,Auvergne-Rhône-Alpes,Ain,1250,46.22,5.368,"Drom (1250), Auvergne-Rhône-Alpes"
131,Druillat,Auvergne-Rhône-Alpes,Ain,1160,46.068,5.294,"Druillat (1160), Auvergne-Rhône-Alpes"
132,Échallon,Auvergne-Rhône-Alpes,Ain,1130,46.227,5.733,"Échallon (1130), Auvergne-Rhône-Alpes"
133,Échenevex,Auvergne-Rhône-Alpes,Ain,1170,46.316,6.019,"Échenevex (1170), Auvergne-Rhône-Alpes"
134,Évosges,Auvergne-Rhône-Alpes,Ain,1230,45.965,5.503,"Évosges (1230), Auvergne-Rhône-Alpes"
135,Faramans,Auvergne-Rhône-Alpes,Ain,1800,45.91,5.125,"Faramans (1800), Auvergne-Rhône-Alpes"
136,Fareins,Auvergne-Rhône-Alpes,Ain,1480,46.021,4.762,"Fareins (1480), Auvergne-Rhône-Alpes"
137,Farges,Auvergne-Rhône-Alpes,Ain,1550,46.166,5.9,"Farges (1550), Auvergne-Rhône-Alpes"
138,Feillens,Auvergne-Rhône-Alpes,Ain,1570,46.337,4.885,"Feillens (1570), Auvergne-Rhône-Alpes"
139,Ferney-Voltaire,Auvergne-Rhône-Alpes,Ain,1210,46.252,6.108,"Ferney-Voltaire (1210), Auvergne-Rhône-Alpes"
140,Flaxieu,Auvergne-Rhône-Alpes,Ain,1350,45.811,5.745,"Flaxieu (1350), Auvergne-Rhône-Alpes"
141,Foissiat,Auvergne-Rhône-Alpes,Ain,1340,46.378,5.185,"Foissiat (1340), Auvergne-Rhône-Alpes"
